"","v024","v025","neo_mort == ""Yes""TRUE","se.neo_mort == ""Yes""TRUE","nm"
"1.1",1,1,0,0,0
"2.1",2,1,0,0,0
"3.1",3,1,0,0,0
"4.1",4,1,0,0,0
"5.1",5,1,0,0,0
"6.1",6,1,0,0,0
"7.1",7,1,0,0,0
"8.1",8,1,0,0,0
"9.1",9,1,0,0,0
"10.1",10,1,0,0,0
"11.1",11,1,0,0,0
"12.1",12,1,0,0,0
"13.1",13,1,0,0,0
"14.1",14,1,0,0,0
"15.1",15,1,0,0,0
"16.1",16,1,0,0,0
"17.1",17,1,0,0,0
"18.1",18,1,0,0,0
"19.1",19,1,0,0,0
"20.1",20,1,0,0,0
"21.1",21,1,0,0,0
"22.1",22,1,0,0,0
"23.1",23,1,0,0,0
"24.1",24,1,0,0,0
"25.1",25,1,0,0,0
"26.1",26,1,0,0,0
"51.1",51,1,0,0,0
"52.1",52,1,0,0,0
"53.1",53,1,0,0,0
"54.1",54,1,0,0,0
"55.1",55,1,0,0,0
"1.2",1,2,0,0,0
"2.2",2,2,0,0,0
"3.2",3,2,0,0,0
"4.2",4,2,0,0,0
"5.2",5,2,0,0,0
"6.2",6,2,0,0,0
"8.2",8,2,0,0,0
"9.2",9,2,0,0,0
"10.2",10,2,0,0,0
"11.2",11,2,0,0,0
"12.2",12,2,0,0,0
"13.2",13,2,0,0,0
"14.2",14,2,0,0,0
"15.2",15,2,0,0,0
"16.2",16,2,0,0,0
"17.2",17,2,0,0,0
"18.2",18,2,0,0,0
"19.2",19,2,0,0,0
"20.2",20,2,0,0,0
"21.2",21,2,0,0,0
"22.2",22,2,0,0,0
"23.2",23,2,0,0,0
"24.2",24,2,0,0,0
"25.2",25,2,0,0,0
"26.2",26,2,0,0,0
"51.2",51,2,0,0,0
"52.2",52,2,0,0,0
"53.2",53,2,0,0,0
"54.2",54,2,0,0,0
"55.2",55,2,0,0,0
